Date,Member,Party,State / District,Title,Press Release
May 9,Michael C. Burgess,R,Tex.-26,Burgess Delivers Commencement Speech at UTSW Medical School Graduation,"2306 Rayburn HOB Washington, DC 20004Email Me202-225-5755"
May 6,Tom Cole,R,Okla.-4,The Far-Lefts Serious Anti-Israel Problem,"May is Asian American, Native Hawaiian, and Pacific Islander (AANHPI) Heritage Month. I’m honored to join communities across the country in celebrating the history, immeasurable contributions, and achievements of the Asian American, Native Hawaiian, and Pacific Islander communities. 
 
This observance originally began as “Asian/Pacific American Heritage Week,” which was established through a joint Congressional resolution in 1978 and was later designated as “Asian/Pacific American Heritage Month” in section 102 of title 36, United States Code. The month of May was chosen due to two important milestones in AANHPI history: May 7, 1843, when the first Japanese immigrants arrived in the United States, and May 10, 1869, when the first transcontinental railroad was completed with substantial contributions from Chinese immigrant workers.
 
AANHPI Month is about paying tribute to the generations of Asian and Pacific Islanders who have enriched America's history and are instrumental in our future success. We must also do all we can to stop anti-Asian hate, whenever and wherever it occurs. A new report shows 32% of Asian Americans nationwide were called a slur over the past 12 months, and 29% were verbally harassed or abused. More than a quarter of Asian Americans say they feel unsafe on public transportation, and 41% think they will be the victim of a physical attack in the next five years. 
 
Awareness is key – we need to do more to keep all Americans safe from bigotry and discrimination. One of the best ways to fight ignorance and hatred is by learning about other communities and cultures.  That’s why this month is so important. It gives us the  opportunity to learn more about our neighbors and their contributions to our country. Let’s make sure AANHPI stories are told at every level and AANHPI voices are represented – in books, media, entertainment, and in government.    Are you part of the AANHPI community? How are you celebrating this month, and what do you want the public to know about your community? Click to take my survey 
 BREAKING: Economy Update
 
The unemployment rate has been under 4% for the longest stretch of time since the 1960s. The U.S. added 175,000 new jobs last month. This is progress – but we have more to do, we must continue to make sure these jobs pay a livable minimum wage. 
 
That’s why I’m proud to support the Raise the Wage Act to increase the minimum wage to $17 an hour by 2028. Americans deserve to be fairly compensated for their hard work. Hoosiers shouldn’t have to work two or three jobs to feed their families or keep their homes.    That’s why I’m also working to lower the high cost of goods and services. Democrats’ work has resulted in a cap on the price of insulin – no senior on Medicare pays more than $35 a month for this lifesaving medication, thanks to our work. I’ll keep fighting for you – the hardworking, middle-class Americans who make our country so great. 
 Success Story of the Week:  
Last month, my office was honored to present Clifton Morlan of American Legion Post 360 with his official Korean Defense Medal. Our office began assisting Cliff with his medal request back in 2022. He was originally issued the discontinued Korean Service Medal instead of the correct Korean Defense Medal.  We were proud to get the correct medal awarded and honor a worthy veteran for his brave service to our country.    
If you or a family member needs assistance with veterans or other federal benefits, please contact my office! Team Carson is Here to Serve:  Did you know that in 2023, my office responded to over 70,000 of your messages and brought $1.5 MILLION directly back to Indianapolis families? Team Carson is here to serve you – get in touch to find out how we can help you navigate a federal agency, access government benefits, or recognize a community member’s milestone.  For updates throughout the week, don’t forget to follow me on Facebook, Instagram, and Twitter. 
Your Friend,
André"
May 6,Gus Bilirakis,R,Fla.-12,Financial Disclosure Pasco County Utilities Project,"""It is unconscionable that President Biden is holding up the arms shipment to Israel. It shows a clear lack of understanding of the situation on the ground and the threat Hamas poses to Israel. Having recently been in the 'Gaza envelope' and talked to victims of the heinous Hamas October 7th attacks, and knowing that Hamas shelled Israel since 2007, it is clear that Hamas must be eliminated. Hamas has substantial military assets, troops and munitions, inside Rafah that Israel for self-defense reasons must neutralize. Israel has taken steps to try to alleviate harm to civilians and other noncombatants, and stands ready to assist with rebuilding a peaceful Gaza once Hamas is eliminated. For the life of me, I cannot understand why any supporter of the state of Israel could support the President’s actions."" Enter your email address to get the latest updates straight to your inbox. Use the form below to sign up for my newsletter and get the latest news and updates directly to your inbox."
May 6,Gus Bilirakis,R,Fla.-12,Hernando Sheriff Project Financial Disclosure,"Washington, DC – House Democratic Leader Hakeem Jeffries released the following statement:Our decision to stop Rep. Marjorie Taylor Greene from plunging the House of Representatives and the country into further chaos is rooted in our commitment to solving problems for everyday Americans in a bipartisan manner. We need more common sense and less chaos in Washington, D.C. Marjorie Taylor Greene and the extreme MAGA Republicans are chaos agents. House Democrats are change agents. We will continue to govern in a reasonable, responsible and results-oriented manner and to put people over politics all day and every day.  ### Subscribe to our e-newsletter that provides updates
					on important issues, my work in the Congress and what's
					happening in our district."
May 6,Gus Bilirakis,R,Fla.-12,Hernando Schools Financial Disclosure,"May 8, 2024 Contact: Taylor Haulsee   “Never Again” honors Days of Remembrance and recommits to the promise made decades ago   WASHINGTON — Today, Speaker Johnson released a video honoring Holocaust victims and survivors. On Tuesday, May 7, Speaker Johnson delivered remarks at the Holocaust Memorial Museum’s annual Days of Remembrance ceremony held in the U.S. Capitol.  Click here to watch the video   “This is a time for all of us to come together. We must look to this audience, to the survivors of the Holocaust, to their descendants to help us remember and to bear witness,” said Speaker Johnson. “We kept our promise that we made decades ago: never again.”   ### 

Tags: 
 Tweet
 Share

 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
May 6,Gus Bilirakis,R,Fla.-12,Hernando County Sewer Notice of Financial Disclosure,"May 8, 2024 Lawmakers Continue Calls for Extending TPS for Haiti, Halting Deportations, Disrupting Arms Trafficking, Providing Humanitarian & Economic Assistance, and More Press Conference (Twitter) | Photos (Dropbox) WASHINGTON – Haiti Caucus Co-Chairs Congresswomen Ayanna Pressley (MA-07), Yvette D. Clarke (NY-09) and Sheila Cherfilus-McCormick (FL-20), along with Congresswoman Cori Bush (MO-01), Congresswoman Frederica Wilson (FL-24), and Congresswoman Barbara Lee (CA-13), held a Capitol Hill press conference with colleagues and advocates to renew their calls for urgent federal action to address the growing crisis in Haiti. The press conference comes at a time when the humanitarian, political, economic, and security crises in Haiti are becoming increasingly dire.  The policies called for by the lawmakers and advocates include: extending and redesignating TPS for Haiti; halting all deportations to Haiti; disrupting arms trafficking to the island; providing urgent humanitarian relief; preventing the transfer of Haitian nationals to Guantanamo Bay, Cuba; passing a new economic assistance package that creates jobs and rebuilds Haiti’s infrastructure; facilitating the establishment of a representative transitional government led by Haitian civil society; and more. “Our Haitian siblings on the island and throughout the diaspora should know that we have not forgotten them and we will never stop fighting for the just and equitable future the Haitian people need and deserve,” said Congresswoman Pressley, Co-Chair of the House Haiti Caucus. “Congress and the Biden Administration have a moral obligation to take action to stabilize Haiti and to save lives, including by providing humanitarian and economic assistance, extending TPS for Haiti, halting deportations, supporting a democratic transition led by Haitian civil society, and more. If we truly believe Black lives matter, then that must include Haitian lives.” “Our nation owes a debt to Haiti. Repayment begins by helping ensure that a Haitian-led democracy rings true in their communities, in the United States, and across the globe. We must take every action necessary to secure a democratic transition led by Haiti’s civil society, and that includes providing vital humanitarian and economic aid, expediting visa processing, cracking down on illegal arms trafficking, and extending TPS and halting deportations. Congress has a responsibility to support Haitian stability and the safety of all its people, and it holds the power to deliver the progress our Haitian neighbors at home and abroad are counting on. In this dire moment where the future of our beloved Caribbean ally is at risk and millions of lives remain imperiled, inaction is inexcusable,” said Congresswoman Yvette D. Clarke, Co-Chair of the House Haiti Caucus. “In the face of the crisis in Haiti, our moral compass and international duty compel us to step forward, not just to alleviate the immediate suffering of the Haitian people, but to address the systemic problems forcing Haitians to flee their homeland. The extension and re-designation of Temporary Protected Status (TPS), alongside an expedited parole program and an immediate halt to deportations, are critical first steps. But our responsibility does not end there. We must confront the root causes of migration by: (1) ensuring that Haitians can live safely and peacefully within their own borders; (2) taking a firm stand against the trafficking of firearms from places like Florida to Haiti; (3) holding those who perpetuate violence and instability accountable,” said Congresswoman Sheila Cherfilus McCormick, Co-Chair of the House Haiti Caucus. “As a member of the House Foreign Affairs Committee, I have a pulse on the challenges facing our allies around the world. Just as we have extended our support to them during their time of need, Haiti deserves the same treatment. The time for action is now – to protect lives, foster security, and promote stability where Haitians can thrive in their own country.” “To deport people back to Haiti is a cause and kiss of death,” said Congresswoman Frederica Wilson. “There is nothing in Haiti but suffering, so we have to say to the President of the United States, ‘Stop the deportation.’ Not only expand TPS but stop the deportation and support the new government that we are putting together in Haiti. This government is being supported by the international community, the United States government, and the Caribbean community; it is Haitian-led. We must fund them—fund them just as we do other countries. Fund them! Fund them just like you fund other countries.” The lawmakers were joined by Guerline Jozef, Executive Director of Haitian Bridge Alliance, Patrice Lawrence, Executive Director of UndocuBlack Network, Mary Estimé-Irvin, Chairwoman of National Haitian American Elected Officials Network, Tessa Petit, Executive Director of Florida Immigrant Coalition, and impacted families and TPS recipients. “It’s urgent for President Biden to re-designate and extend TPS for Haiti,” said Guerline Jozef, Co-Founder and Executive Director, Haitian Bridge Alliance. “Equally vital is for the United States Congress to pass an economic package supporting job creation and key infrastructure projects. Additionally, the Biden administration must immediately cease the deportation of Haitian nationals. Sending people to a country plagued by insecurity and humanitarian crises is  unconscionable. The disparate treatment of Black immigrants must come to an end!” “UndocuBlack Network calls on the Biden- Harris administration to end the cruelty against Haitians. It is cruel to deport Haitian nationals while arranging for evacuation of American nationals at the same time. Our ask is simple, honor the dignity of Haitian people. If Secretary Mayorkas leads by these values, he will release Haitians from detention, extend and redesignate TPS for Haiti and stop the deportations now. To be the change President Biden claimed to be, he must act differently from his predecessors especially as it relates to Black immigrants,” said Patrice Lawrence, Executive Director, UndocuBlack Network. “The painful reality of the Haitian people is complex and multi-layered.  However, the immediate steps that need to be taken can happen with the stroke of a pen. It is time for the Administration to redesignate and extend TPS for Haiti. It is also crucial that all deportation of Haitians be immediately halted,” said Tessa Petit, Executive Director, Florida Immigrant Coalition. “Haitians need security, justice, understanding and acceptance.  That will only be possible with the will from the administration to support Haiti by addressing its root causes, through a comprehensive humanitarian and economic support that will change the future of the Haitian people.” “An economic plan akin to the Marshall Plan is essential to aid Haiti, which is located less than 90 miles from our shores, in addition to humanitarian assistance and the reconsideration of TPS,” said Mary Estimé-Irvin, Chairwoman, National Haitian American Elected Officials Network. “Like Israel, Ukraine, and Taiwan, Haiti is a sovereign nation that requires support.” Footage from the press conference can be found here, and photos can be found here. As Representative for the Massachusetts 7th Congressional District, Congresswoman Pressley serves as Co-Chair for the House Haiti Caucus and represents one of the largest Haitian diaspora communities in the country, with approximately 46,000 Haitians and Haitian-Americans living across the state and over half in the Boston metropolitan area. Additionally, Massachusetts is home to more than 4,700 Haitians with Temporary Protected Status. ### Washington DC Office 402 Cannon HOB
Washington, DC 20515 Phone (202) 225-5111
Fax (202) 225-9322 District Office 1295 River Street
Hyde Park, MA 02136 Phone (617) 850-0040
Fax (202) 225-9322"
May 6,Gus Bilirakis,R,Fla.-12,Crystal River Wastewater Project Financial Disclosure,"WASHINGTON, D.C. — Today, Representative Pramila Jayapal (D-Wash.-07), along with U.S. Senators Alex Padilla (D-Calif.), Chair of the Senate Judiciary Subcommittee on Immigration, Citizenship, and Border Safety, Majority Whip Dick Durbin (D-Ill.), Chair of the Senate Judiciary Committee, Cory Booker (D-N.J.), Catherine Cortez Masto (D-Nev.), Ben Ray Luján (D-N.M.), and Edward J. Markey (D-Mass.), and Representative Nanette Barragán (D-Calif.-44), joined advocates from FWD.us, American Families United, UnidosUS, CASA, and others to call on President Biden to protect long-term undocumented immigrants in the United States. The members and advocates urged the Biden Administration to take urgent action, reportedly under consideration, to provide protections and relief for long-term undocumented individuals, including people who have been in the United States for decades, contributing in countless ways to our communities. Specifically, they called on President Biden to expand Temporary Protected Status (TPS) and to streamline pathways to lawful status for undocumented spouses of U.S. citizens, family caregivers, and other long-term residents. Padilla, Durbin, Booker, Cortez Masto, Luján, and Markey previously provided their recommendations to the Administration for executive actions to streamline immigration relief for the undocumented population and DACA recipients in the United States. “As the Biden Administration considers executive actions on immigration, we must not return to failed Trump-era policies aimed at banning asylum and moving us backwards,” said Senator Padilla. “I urge President Biden to embrace our values as a nation of immigrants and use this opportunity to instead provide relief for the long-term immigrants of this nation.” “Our hearing in the Senate Judiciary Committee made clear: Dreamers are American in every way but their paperwork. They contribute to our economy and are foundational to our communities. While Republicans peddle extremist anti-immigrant rhetoric and block bipartisan reform, we need solutions now. That’s why I’m urging President Biden to use his executive authority to provide relief for long-term undocumented immigrants and ensure that families can stay together and live free of fear of deportation,” said Senator Durbin. “I’m proud to stand with advocates and my fellow legislators to reaffirm our commitment to protecting undocumented people, many of whom have been a part of our nation for decades,” said Senator Booker. “These Americans and their families remain ensnared in a dysfunctional system that offers them no path to lawful status. We call on President Biden to take decisive executive action now to provide relief to millions of people and safeguard American families at risk of being torn apart.” “There are hundreds of thousands of Nevadans who live with at least one family member who is an undocumented, long-term resident of the U.S. The President must help protect these hardworking families through executive action so they don’t pay the price for Republicans’ political games,” said Senator Cortez Masto. “The time to act is now, and I’ll keep fighting to fix our immigration system and strengthen our border security—we have to do both.” “There are thousands of immigrants who risked their life to travel to America for a better life. They’ve built lives here, and are now part of the fabric of this nation. They are deserving of a dignified path to citizenship. Both Democrats and Republicans know it’s time for us to fix our broken immigration system,” said Senator Luján. “I urge President Biden to continue working to solve our immigration challenges for our brothers and sisters who already call America home.” “With millions of undocumented immigrants currently living in fear of separation from their families, we need a more streamlined process for undocumented immigrant spouses of U.S. citizens, family caregivers, and other long-term residents to move through administrative obstacles. I will continue to advocate on behalf of DACA recipients and immigrants across this country for an immigration system that prioritizes fairness, humanity, and hope,” said Senator Markey. “President Biden should seize this critical moment by exercising his Executive Authority to rebuild our broken immigration system. We urge him to provide pathways to citizenship and protections for the millions of long-term undocumented residents who have contributed to the rich fabric of the United States,” said Congressional Hispanic Caucus Chair Nanette Barragán. “These are our uncles, aunts, parents, friends, and loved ones, who have raised their own families right here in our neighborhoods. They call America their permanent home, they deserve the chance to come out of the shadows.” “I am proud to be an immigrant, one of just two dozen naturalized citizens to serve in the United States Congress. I know—and the vast majority of the American people know—that America is fueled by the creativity, inspiration and hard work of immigrant families. Harsh, enforcement-only policies that separate families have never worked and will not work. In the meantime, the Biden Administration’s greatest successes have been in using its legal authority to provide more legal pathways through the kinds of actions we are advocating for today. We can boost our economy, enrich our communities, and actually make life better for America families across this country,” said Representative Jayapal. “Immigration relief would be a win-win for immigrant families and our nation. If given access to legal status and work permits, the long-residing undocumented would fill gaps in our workforce, increase productivity, and fuel economic growth,” said Janet Murguía, President and CEO of UnidosUS. “Polls consistently show Americans support relief for the undocumented and it’s the #1 immigration priority of Latino voters. We urge President Biden to act to protect immigrants in American families and with deep roots in the U.S., and we’ll work tirelessly to ensure immigrants sign up for the protection, so they contribute even more to our society, tax base and the economy.” “I know first hand what life in this country is as an undocumented immigrant. I also know the transformational impact of affirmative relief, and the significance of adjusting from temporary status to permanent residence. So I’m here today to urge President Biden in the strongest possible terms to provide affirmative relief via executive action. He could offer legal pathways that would allow as many of 3 million people, including Dreamers, daily caregivers, and other long-settled immigrants to continue working and contributing to their families and communities,” said Maria Praeli, Deputy Director of Government Relations & Coalitions, FWD.us. “DACA has been a lifeline for me, but thousands of DACA recipients like me could also benefit from parole in place – allowing us to adjust our status without having to leave the only country we know as home,” said Foday Turay, a DACA recipient, Assistant District Attorney for Pennsylvania, and an American Families United member. “I want to say directly to President Biden: please grant affirmative relief to protect American families like mine. Parole in place would be a beacon of hope for my family — an answered prayer that would allow me to continue to work as an attorney, contributing to my community by doing what I love. Most importantly, it would provide long-overdue relief to my son and wife, who would no longer have to worry that daddy could be taken away.” “Doing what we thought we needed to do to live our American Dream has become our nightmare. Our family was forced to separate. Our U.S. born children were forced to leave their country to be closer to their mother, and I’ve been living apart from my family for 2 years — our entire family’s mental health, my children’s opportunities, have all been deeply hurt by this separation,” said Gerardo Diaz, a U.S. citizen and an American Families United member who has had to live apart from his family for more than 2 years already. “Two years of not kissing my kids goodnight before they go to sleep and missing out on endless milestones in their young lives. President Biden, please listen to us: we know that you can use your authority to protect and reunite American families like mine. We’ve already seen you reunite families — and there are many more of us who need relief urgently, right now.” 
						Issues: Immigration  
							Washington, DC Office						 
							2346 Rayburn House Office Building						 
							Washington. DC 20515						 
							Phone: 202-225-3106						 
							Fax: 202-225-6197						 
							Seattle Office						 
							2033 6th Ave., Suite 1011						 
							Seattle, WA 98121						 
							Phone: 206-674-0040						 
							Fax: 771-200-5813						"
May 6,Gus Bilirakis,R,Fla.-12,Citrus Sheriff Project Financial Disclosure,"Lawmakers Continue Calls for Extending TPS for Haiti, Halting Deportations, Disrupting Arms Trafficking, Providing Humanitarian & Economic Assistance, and More FOR IMMEDIATE RELEASE: May 8, 2024 MEDIA CONTACT:  e: brian.phillips@mail.house.gov c: 202.913.0126 Washington, D.C. — Haiti Caucus Co-Chairs Congresswomen Yvette D. Clarke (NY-09), Ayanna Pressley (MA-07), and Sheila Cherfilus-McCormick (FL-20), along with Congresswoman Cori Bush (MO-01), Congresswoman Frederica Wilson (FL-24), and Congresswoman Barbara Lee (CA-13), held a Capitol Hill press conference with colleagues and advocates to renew their calls for urgent federal action to address the growing crisis in Haiti. The press conference comes at a time when the humanitarian, political, economic, and security crises in Haiti are becoming increasingly dire.  The policies called for by the lawmakers and advocates include: extending and redesignating TPS for Haiti; halting all deportations to Haiti; disrupting arms trafficking to the island; providing urgent humanitarian relief; preventing the transfer of Haitian nationals to Guantanamo Bay, Cuba; passing a new economic assistance package that creates jobs and rebuilds Haiti’s infrastructure; facilitating the establishment of a representative transitional government led by Haitian civil society; and more. “Our nation owes a debt to Haiti. Repayment begins by helping ensure that a Haitian-led democracy rings true in their communities, in the United States, and across the globe. We must take every action necessary to secure a democratic transition led by Haiti’s civil society, and that includes providing vital humanitarian and economic aid, expediting visa processing, cracking down on illegal arms trafficking, and extending TPS and halting deportations. Congress has a responsibility to support Haitian stability and the safety of all its people, and it holds the power to deliver the progress our Haitian neighbors at home and abroad are counting on. In this dire moment where the future of our beloved Caribbean ally is at risk and millions of lives remain imperiled, inaction is inexcusable,” said Congresswoman Yvette D. Clarke, Co-Chair of the House Haiti Caucus. “Our Haitian siblings on the island and throughout the diaspora should know that we have not forgotten them and we will never stop fighting for the just and equitable future the Haitian people need and deserve,” said Congresswoman Pressley, Co-Chair of the House Haiti Caucus. “Congress and the Biden Administration have a moral obligation to take action to stabilize Haiti and to save lives, including by providing humanitarian and economic assistance, extending TPS for Haiti, halting deportations, supporting a democratic transition led by Haitian civil society, and more. If we truly believe Black lives matter, then that must include Haitian lives.” “In the face of the crisis in Haiti, our moral compass and international duty compel us to step forward, not just to alleviate the immediate suffering of the Haitian people, but to address the systemic problems forcing Haitians to flee their homeland. The extension and re-designation of Temporary Protected Status (TPS), alongside an expedited parole program and an immediate halt to deportations, are critical first steps. But our responsibility does not end there. We must confront the root causes of migration by: (1) ensuring that Haitians can live safely and peacefully within their own borders; (2) taking a firm stand against the trafficking of firearms from places like Florida to Haiti; (3) holding those who perpetuate violence and instability accountable,” said Congresswoman Sheila Cherfilus McCormick, Co-Chair of the House Haiti Caucus. “As a member of the House Foreign Affairs Committee, I have a pulse on the challenges facing our allies around the world. Just as we have extended our support to them during their time of need, Haiti deserves the same treatment. The time for action is now – to protect lives, foster security, and promote stability where Haitians can thrive in their own country.” “To deport people back to Haiti is a cause and kiss of death,” said Congresswoman Frederica Wilson. “There is nothing in Haiti but suffering, so we have to say to the President of the United States, ‘Stop the deportation.’ Not only expand TPS but stop the deportation and support the new government that we are putting together in Haiti. This government is being supported by the international community, the United States government, and the Caribbean community; it is Haitian-led. We must fund them—fund them just as we do other countries. Fund them! Fund them just like you fund other countries.” The lawmakers were joined by Guerline Jozef, Executive Director of Haitian Bridge Alliance, Patrice Lawrence, Executive Director of UndocuBlack Network, Mary Estimé-Irvin, Chairwoman of National Haitian American Elected Officials Network, Tessa Petit, Executive Director of Florida Immigrant Coalition, and impacted families and TPS recipients. “It’s urgent for President Biden to re-designate and extend TPS for Haiti,” said Guerline Jozef, Co-Founder and Executive Director, Haitian Bridge Alliance. “Equally vital is for the United States Congress to pass an economic package supporting job creation and key infrastructure projects. Additionally, the Biden administration must immediately cease the deportation of Haitian nationals. Sending people to a country plagued by insecurity and humanitarian crises is unconscionable. The disparate treatment of Black immigrants must come to an end!” “UndocuBlack Network calls on the Biden- Harris administration to end the cruelty against Haitians. It is cruel to deport Haitian nationals while arranging for evacuation of American nationals at the same time. Our ask is simple, honor the dignity of Haitian people. If Secretary Mayorkas leads by these values, he will release Haitians from detention, extend and redesignate TPS for Haiti and stop the deportations now. To be the change President Biden claimed to be, he must act differently from his predecessors especially as it relates to Black immigrants,” said Patrice Lawrence, Executive Director, UndocuBlack Network. “The painful reality of the Haitian people is complex and multi-layered. However, the immediate steps that need to be taken can happen with the stroke of a pen. It is time for the Administration to redesignate and extend TPS for Haiti. It is also crucial that all deportation of Haitians be immediately halted,” said Tessa Petit, Executive Director, Florida Immigrant Coalition. “Haitians need security, justice, understanding and acceptance. That will only be possible with the will from the administration to support Haiti by addressing its root causes, through a comprehensive humanitarian and economic support that will change the future of the Haitian people.” “An economic plan akin to the Marshall Plan is essential to aid Haiti, which is located less than 90 miles from our shores, in addition to humanitarian assistance and the reconsideration of TPS,” said Mary Estimé-Irvin, Chairwoman, National Haitian American Elected Officials Network. “Like Israel, Ukraine, and Taiwan, Haiti is a sovereign nation that requires support.” Footage from the press conference can be found here, and photos can be found here. ### 
 Sign Up for email updates from Congresswoman Yvette Clarke."
May 6,Gus Bilirakis,R,Fla.-12,Citrus Lift Station Project Financial Disclosure,"May 8, 2024 For Immediate Release Contact: Taylor Haulsee   WASHINGTON — Speaker Johnson released the following statement after D.C. Mayor Muriel Bowser finally stopped restricting law enforcement from restoring order at George Washington University, just hours ahead of her scheduled testimony before the House Oversight Committee.Because the encampments were cleaned up and order was restored on campus, the Committee canceled the scheduled hearing.   “Last week, we announced a House-wide crackdown on antisemitism on college campuses,” said Speaker Johnson. “This week, Chairman Comer and the Oversight Committee delivered results by compelling Mayor Bowser to order police to clear the weeks-long, pro-Hamas and illegal encampments around George Washington University’s campus.   “While it should not require threatening to haul D.C.’s mayor before Congress to keep Jewish students at George Washington University safe, I applaud Chairman Comer’s steadfast leadership.   “Through the House-wide effort to crack down on antisemitism, we are going to learn why security forces and campus administrators have refused to do their first job: keeping students safe.”   ### 
							H-232, The Capitol
							Washington, D.C. 20515
							202-225-4000
						 ©2024 U.S. House of Representatives. All Rights Reserved. Privacy Policy"
May 6,Gus Bilirakis,R,Fla.-12,Brooksville Wastewater Financial Disclosure,https://iqconnect.house.gov/iqextranet/view_newsletter.aspx?id=105812&c=AZ05AB
