Date,Member,Party,State / District,Title,Press Release,Caucus
April 23,Morgan Griffith,R,Va.-9,"Griffith Announces $628,220 to Virginia Tech for Cancer Detection and Diagnosis Research",Welcome to the on-line office for Congressman Gregorio Kilili Camacho Sablan. Please visit the Contact Me page to contact Kilili electronically or click on the office location nearest you for details,Freedom Party
April 23,Pramila Jayapal,D,Wash.-7,"Jayapal, Murphy, Warren, Peters Lead Senate And House Colleagues In Urging FTC To Swiftly Finalize Rule Banning Non-Compete Agreements","Dear Friend, I hope you have had a good week. I wanted to take a moment to share an update on the work I did this week while in Washington. 1. Hosted Mothers of American Veterans Killed in Action in Ukraine
  This week, as co-chair of the Congressional Ukraine Caucus, I hosted a press conference with three Gold Star mothers of American veterans killed while fighting in Ukraine. These mothers shared their son's stories, explained why they chose to join Ukraine's cause, and made the case for sending additional assistance. These veterans made the ultimate sacrifice to fight for Ukraine's freedom. I believe we must honor their service by helping Ukraine end this war. I was joined by colleagues from both sides of the aisle at the press conference and we made clear our determination to protect Ukraine and the rest of Eastern Europe from Putin's threats.  I recently returned from my third trip to Ukraine since the war began in February 2022. I met with President Zelenskyy and high-ranking military officials who offered insight into the need for further assistance to defend against Russia. 2. Held a Roundtable on Improving Transparency in Government
  On Tuesday, I hosted a roundtable discussion with speakers from a variety of government offices and civil society organizations to identify actionable commitments that advance transparency and bring sunshine to our government. Here in Congress, I am proud to serve as a co-chair and co-founder of the bipartisan Congressional Transparency Caucus. Transparency in government is crucial to our democracy. Our government derives its power from the consent of the governed, and openness and accessibility of government information is essential in establishing public trust and accountability. 3. Joined CNN to Discuss the State of Play in Congress  On Tuesday, I joined CNN MAX with Jim Sciutto to discuss Speaker Johnson's plan to respond to the crises unfolding beyond our borders. After months of delay, the Speaker unveiled his plan to provide critical aid to Ukraine, Israel, and Taiwan. As the United States, I believe it is imperative that we lead the fight to save democracy and stand up to tyranny. We also discussed threats from far-right conservatives to remove Johnson as Speaker of the House. I emphasized the importance of focusing on the tasks at hand rather than wasting time with partisan theater. To watch my full interview, click HERE. Don't forget, our office is always here to help.  You can call my DC office at (202) 225-4061 or my Chicago office at (773) 267-5926. You can also email me through my website at Quigley.house.gov/contact. Sincerely, Mike Quigley Hours: Monday - Friday 9am - 5:30pm Hours: Monday - Friday 9am - 5:00pm",Congress Progressive
April 19,Mike Quigley,D,Ill.-5,Catching Up With Quigley: Week of April 15,"Dedicated to estuary restoration and conservation. Revving up the American Economy. Let me know how I can better serve you! 
Learn More about the Republican Study Committee 
",New Democrat Coalition
April 22,Ayanna Pressley,D,Mass.-7,"Pressley, Warren Celebrate $1M Secured for Black Economic Council of Massachusetts","April 19, 2024  Dear Friend,  This week, the dysfunctional Republican leadership finally produced bills for aid to Israel and Ukraine and scheduled a vote for Saturday. The support for Ukraine is long overdue, and I will vote in favor of it, in addition to aid to Israel and for the civilian population of Gaza. I also met in my Washington office with the President of the University of Tennessee and the Chancellor of Rutgers University-Camden, planned to attend next week’s grand opening of the Orange Mound Library in the former Melrose High School, condemned the current Turkish government for human rights abuses, welcomed the Senate’s quick dismissal of the spurious impeachment charges against Homeland Security Secretary Alejandro Mayorkas, offered some guidance on President Biden’s most recent effort to reduce student loan debt, and offered a health tip tied to warming temperatures. Keep reading and follow me on Twitter, Facebook and Instagram to see what I am doing as it happens.  Expecting to Vote for Aid to Support Israel and Ukraine Meeting with University President and Chancellor Looking Forward to the Grand Opening of the Orange Mound Library Condemning Turkey’s Political Oppression Welcoming Dismissal of Mayorkas Impeachment Hoax Offering Guidance on Student Loan Forgiveness Weekly Health Tip Quote of the Week Expecting to Vote for Aid to Support Israel and Ukraine  The dysfunctional Republican leadership of the House has finally scheduled votes on aid to Israel and to Ukraine for Saturday, and I will vote for both measures. The delay in offering support to Ukraine has resulted in reversals on the battlefield and additional loss of life from both military and civilian populations, so providing this assistance is crucial. The measures will also provide military aid to Israel and humanitarian aid to the starving civilian population of Gaza, as well as assistance to Taiwan. Iran’s shooting 300 drones, rockets and missiles at Israel brought this issue to the fore with the need to replenish Israel’s weapons supply. Depending on the outcome Saturday, Speaker Mike Johnson could be seen as a profile in courage for risking his political career for a noble cause. I commend him for scheduling these votes and will support him if there is a motion, as threatened, to vacate the speakership.  Meeting with University President and Chancellor  Chancellor Tillis, Congressman Cohen and President Boyd On Wednesday, University of Tennessee President Randy Boyd and Rutgers University-Camden Chancellor Antonio Tillis visited my Washington office to discuss their education priorities. With President Boyd, we discussed the Tennessee Lottery I passed as a state Senator that provides so many scholarships to U.T. students and others. With Chancellor Tillis, I commended him on his commitment to attracting talented students from Memphis to his prestigious New Jersey university, particularly the “pipeline” he has created between Rutgers and Hamilton High School.  Condemning Turkey’s Political Oppression  My late Congressional colleague Tom Lantos was a champion of human rights, and I am proud to be a member of the commission created in his name. The Tom Lantos Human Rights Commission held a hearing on Tuesday with expert witnesses on the ongoing oppression in Turkey. Among the hearing witnesses was Enes Kanter Freedom, a human rights activist and former NBA basketball player who was punished by the NBA for expressing his political views about the lack of human rights in China. See my questioning of witnesses here.   Looking Forward to Orange Mound Library Grand Opening Next Friday, April 26, I plan to attend the grand opening of the Orange Mound Library at the former Melrose High School for which I secured $3 million in community project funding. The transformation of the school is an inspiring example of what happens when federal funding is invested in our community.  Welcoming Dismissal of Mayorkas Impeachment Hoax  The U.S. Senate made fast work of the meritless impeachment of Homeland Security Secretary Alejandro Mayorkas on Wednesday, dismissing both baseless charges in less than three hours. I voted against the impeachment hoax and was pleased to see the Senate toss it aside without debate. Sadly, many in the press wondered if this kind of spectacle means the Senate is becoming like the House – a political, not a policy-based chamber.  Offering Guidance on Student Loan Forgiveness President Biden’s latest action to erase student loan debt is projected to extend relief to more than 30 million Americans. This is benefiting people of all ages — from young people who are new to the job market to moms and dads who have been paying off old loans with sky-high interest rates for years. The new plan will cancel runaway interest for millions; it will automatically cancel debt for borrowers who are eligible for programs like SAVE and PSLF but just haven’t applied; it will cancel debt for borrowers who entered repayment decades ago and for people who enrolled in programs with low –financial value programs; and it will provide debt relief for people who are experiencing serious financial hardship. The Biden Administration has already helped four million people save $146 billion on student loan debt, and this is another big step in the right direction.   Weekly Health Tip  Besides the cicadas we anticipate seeing as temperatures rise, the heat also brings mosquito season to our region. Remember to empty containers that collect standing water in areas where the West Nile virus has been detected in recent years. The Shelby County Health Department will be spraying, weather permitting, in the following ZIP codes this week: 38127, 38111, 38112, 38018, 38016, 38138, 38134, 38135, 38133, 38053, 38109, 38117, 38120, 38122, 38128 and 38109.  Quote of the Week “Your client was audibly uttering something. I won’t tolerate that. I will not have any jurors intimidated in this courtroom. I want to make that crystal clear.” – Justice Juan Merchan instructing Donald Trump’s lawyers during Tuesday’s jury selection in the New York hush-money criminal case  As always, I remain.
			Most sincerely, Steve Cohen
			Member of Congress  Hours: Monday-Friday 9am-6pm ET Hours: Monday-Friday 8am-5pm CT",Congress Progressive
April 22,Henry Cuellar,D,Tex.-28,"Rep. Cuellar Announces $3,120,000 in Federal Funds for Schoolyard Forestry in Laredo","April 20, 2024 WASHINGTON – Congresswoman Ayanna Pressley (MA-07) issued the following statement on her votes today on the House’s votes on foreign military aid packages for Israel, Ukraine..  Yesterday, Rep. Pressley filed a pair of amendments to increase funding to global humanitarian assistance and place a one-year moratorium on the transfer of offensive weapons to the Israeli military. The amendments were not adopted in the final legislation.  “In this moment of growing global conflict, I have consistently advocated for policies and budgets that save lives, promote de-escalation, and work toward peace across the globe. “It is unconscionable that Congress would consider sending more offensive weapons and funding to the Israeli military, which for months has operated with callous disregard for human life in Gaza and perpetrated significant human rights violations. Over 34,000 Palestinians have been killed by Israeli forces, millions of civilians in Gaza are on the brink of famine, and over 100 hostages are still held captive by Hamas. While I support Israel’s right to defend itself—especially following the horrific October 7th attack and I grieve deeply for those impacted—we cannot bomb our way to peace and become complicit as the Netaynahu government continues to massacre the Palestinian people. I voted NO on H.R. 8034 and continue to call for the United States to facilitate a lasting, bilateral ceasefire to save lives, return all hostages, deliver meaningful humanitarian aid to Gaza, and negotiate a long-term diplomatic solution that results in a just and lasting peace for Israelis and Palestinians alike.” “I also believe Congress should provide long-overdue assistance to help the Ukrainian people defend themselves against Vladimir Putin’s unjust and illegal invasion. This conflict has claimed the lives of tens of thousands of innocent people and displaced millions of others, and my heart breaks for the Ukrainian and Russian civilians who have had to deal with this unspeakable trauma. While I never take a vote on military aid lightly and believe diplomacy and humanitarian aid should be the priority, we have an obligation to stop Putin’s unjust invasion. I voted YES on H.R. 8035. “I am encouraged that Democrats were able to secure some global humanitarian aid in these bills, which will help mitigate these worsening crises. However, I am deeply disappointed that the Republican majority did not consider my amendment to drastically surge humanitarian aid to address the crises in Gaza and Ukraine, as well as in Haiti, Democratic Republic of Congo, Sudan, and others. We must continue to prioritize global humanitarian assistance, including restoring critical funding for UNWRA. “As a parent, woman of faith, and caregiver, I pray that we can build a world where all of our children can thrive and know peace, whether they’re in Massachusetts, Gaza, Ukraine, Israel, or Haiti.”  Since the horrific October 7th attack, Congresswoman Pressley has consistently and stridently called for a ceasefire to save lives, return all hostages, and surge humanitarian aid to Gaza. This week, Rep. Pressley delivered a floor speech in which she called or urgent de-escalation in the Middle East and renewed her calls for a ceasefire in Gaza to prevent a broader regional war. As Co-Chair of the House Haiti Caucus, Rep. Pressley has also led calls for extending Temporary Protected Status for Haiti, a halt to deportations, a Haitian-led democratic transition, the delivery of humanitarian, economic and security assistance to the island, and more. Throughout the Israel and Hamas conflict, Rep. Pressley has been a vocal and consistent advocate of diplomacy, de-escalation, and saving lives. ### Washington DC Office 402 Cannon HOB
Washington, DC 20515 Phone (202) 225-5111
Fax (202) 225-9322 District Office 1295 River Street
Hyde Park, MA 02136 Phone (617) 850-0040
Fax (202) 225-9322",New Democrat Coalition
April 20,Bill Posey,R,Fla.-8,Posey Votes to Block Foreign Aid Bill that Borrows Another $100 Billion,"Subscribe to receive the latest news, insights, and updates directly to your inbox. WASHINGTON, D.C. – Today, U.S. Rep. Kathy Castor (FL-14) released the below statement on House passage of the bipartisan  national security package: “Democracy and freedom won today as a bipartisan majority – 210 Democrats and 101 Republicans – voted to provide emergency security and humanitarian aid to Ukraine. Despite months of delay at the hands of MAGA Republicans, I’m confident that America and our allies will be better equipped to stand strong and united against authoritarians like Vladimir Putin. “The security package provides support for the people of Ukraine and Israel while also providing much-needed humanitarian assistance to civilians affected by conflicts – including millions of Palestinians who continue to face an urgent humanitarian crisis as water and food supplies dwindle. “This package will help Israel defend itself from Hamas and Iran by replenishing the Iron Dome missile defense system that has protected the people of Israel and was pivotal in minimizing the impact of Iran’s recent attack. “The package also provides crucial resources for U.S. Central Command (CENTCOM), headquartered at MacDill Air Force Base in Tampa, and the operations in the Middle East area of responsibility so that our military can respond to attacks on American interests by Iranian proxies. “Strategic investments in the Indo-Pacific will deter aggression from China and help maintain peace and stability throughout the region.  “I am thankful Speaker Johnson finally scheduled the vote, but the harm inflicted on civilians, our allies, our global standing and our national security at the hands of MAGA Republicans’ delay tactics will not be forgotten. Democrats again proved to be the governing majority with devotion to our democratic values and commitment to freedom at home and abroad.”",Freedom Party
April 22,Morgan Griffith,R,Va.-9,"Griffith Announces $2,578,604 HHS Grant to Tri-Area Community Health","CHERRY HILL, NJ – Today, Rep. Donald Norcross (D-NJ) voted in support of the Israel, Ukraine, and Taiwan security packages to provide military aid and assistance to our partners and allies and strengthen democracy around the world.   The security packages voted on today by the House of Representatives will provide $26.4 to Israel, $60.8 billion to Ukraine, and $8.1 billion to Taiwan in security assistance.     “The House of Representatives made clear today that we continue to stand firmly on the side of freedom and democracy. The security packages we passed will continue America’s long-standing and steadfast security support of Israel, ensure Ukraine is sustained in their fight against Russian aggression, and provide Taiwan with needed military assistance to deter China, as well as deliver lifesaving humanitarian aid to millions of civilians living in conflict zones around the world. These packages are also an important investment in our domestic industrial base and will directly support good-paying jobs in South Jersey and across the United States,” Rep. Norcross said. “Let’s be clear: two months ago, House Republican leadership failed to hold a vote on the bipartisan Senate-passed security supplemental because they caved to extremist members of their caucus who wanted to block this desperately needed aid. While today’s packages provide our partners and allies with the tools and resources they need to defend themselves, this delay undoubtedly cost lives. As a member of the House Armed Services Committee, I will continue to work to ensure that Israel can defend itself against terrorists, Ukraine can defeat Putin, and Taiwan can deter Chinese aggression. I’m proud to stand with our allies and partners and strengthen democracy around the world.”    The government spending package is expected to be passed by the Senate and signed into law by President Joe Biden.    Highlights from the funding package can be found below:   These security packages also take advantage of South Jersey’s defense industrial base and support good-paying jobs with aid money used to purchase artillery and weapons systems components from manufacturers in the region.   Rep. Norcross was a part of the first congressional delegation visit to Israel in the days following the October 7 attack.   Rep. Norcross, Sen. Ernst, and a bipartisan, bicameral congressional delegation returned to the Middle East in early January to reaffirm support for Israel, meet with regional officials and partners about challenges, and advocate for the safe and secure return of U.S. citizens taken hostage by Hamas. He also led an op-ed with Sen. Joni Ernst (R-IA) on the important role that Congress has in bringing the hostages home.   In March, Rep. Norcross welcomed Yael Alexander, the mother of New Jerseyan Edan Alexander who remains held hostage by Hamas, as his State of the Union guest to highlight the continued hostage crisis.   ### Permalink: https://norcross.house.gov/2024/4/rep-norcross-votes-in-support-of-israel-ukraine-taiwan-security-package-to-provide-military-aid-and-assistance",Freedom Party
April 22,Morgan Griffith,R,Va.-9,"Griffith Announces $1,574,415 HHS Grant to Clinch River Health Services Inc.","Washington, DC—April 20, 2024…Congressman Steve Womack (AR-3) released the following statement after voting for the Israel Security Supplemental Appropriations Act, 2024; the Ukraine Security Supplemental Appropriations Act, 2024; the Indo-Pacific Security Supplemental Appropriations Act, 2024; and the 21st Century Peace through Strength Act—all of which passed the U.S. House of Representatives today. Congressman Womack said, “The security of America is a constitutional imperative. America is safer when our allies and partners are safe. Providing these nations with necessary and timely resources to defend against aggression is essential to American security. This is not the time to demonstrate weakness. The packages we approved today will not only help America, but a significant amount of these resources will be spent right here in Arkansas, where a number of the munitions and weapons are made. I am grateful to Speaker Mike Johnson for his courage and leadership in bringing these measures to a vote.” Before the vote, Congressman Womack spoke on the House floor urging his colleagues to vote YES on the foreign aid legislation. Click HERE to watch his remarks.  Bill breakdowns The Israel Security Supplemental Appropriations Act, 2024: The bill totals $26.38 billion to support Israel in its effort to defend itself against Iran and its proxies, and to reimburse U.S. military operations in response to recent attacks.  The Ukraine Security Supplemental Appropriations Act, 2024: The bill totals $60.84 billion to address the conflict in Ukraine and assist our regional partners as they counter Russia, $23.2 billion of which will be used for replenishment of U.S. weapons, stocks, and facilities.   The Indo-Pacific Security Supplemental Appropriations Act, 2024: The bill totals $8.12 billion to continue efforts to counter communist China and ensure a strong deterrence in the region.   The 21st Century Peace Through Strength Act:",Freedom Party
April 20,Ayanna Pressley,D,Mass.-7,Rep. Pressleys Statement on Israel and Ukraine Foreign Aid Votes,"Washington, D.C. – Today, Congressman Frank Lucas (OK-03) officially announced his intention to run for the House Financial Services Committee chair. “Since Chairman McHenry’s announcement to retire late last year, I have been approached by several of my colleagues who have encouraged me to seek the Financial Services Committee Chairmanship. With 30 years of experience on […] Washington, D.C. –  At today’s House Financial Services Committee hearing, Congressman Frank Lucas (OK-03) highlighted the detrimental effects of the SEC’s climate disclosure rule.  On March 6, 2024, the Securities and Exchange Commission (SEC) adopted the Climate Rule, introducing sweeping changes to existing disclosure obligations for public companies. Despite modifications made to the initial proposal, the final […] Washington, D.C. – Congressman Frank Lucas (OK-03) released the following statement after Congressman Tom Cole’s (OK-04) appointment to become chairman of the House Committee on Appropriations. The Republican Steering Committee unanimously endorsed Chairman Cole late Tuesday night, with the GOP Conference ratifying it this morning.  “I’d like to congratulate my fellow Oklahoman and long-time friend, Tom Cole, for his […] Washington, DC 2405 Rayburn HOB  Washington, DC 20515 (202) 225-5565 Mon–Fri, 9am–5pm ET Canadian County 11528 SW 15th Street Suite 200 Yukon, OK 73099 (405) 373-1958  Proudly representing the 3rd District of Oklahoma. Accessibility Privacy",Congress Progressive
April 20,Pramila Jayapal,D,Wash.-7,"Statement from Jayapal, Castro, Velzquez, Doggett, Khanna, Ocasio-Cortez, Balint, Casar, Takano, McGovern, Barbara Lee,Blumenauer,Chu, Johnson, Carson, Watson Coleman, Jess Chuy Garca, Jonathan Jackson, and Tokuda on the Israel Security Supplemental","WASHINGTON, D.C. – Today, Congressman Dave Joyce (OH-14), member of the House Appropriations Subcommittee on Defense, questioned Secretary of Defense Lloyd Austin, Chairman of the Joint Chiefs of Staff General C.Q. Brown, and Under Secretary of Defense and Chief Financial Officer Michael McCord on the President’s Fiscal Year 2025 Department of Defense budget request, which unfortunately fails to meet our national security needs.  Watch the full hearing here.  “At a time when our foreign adversaries are only getting stronger, it is more important than ever to ensure that America’s military has the resources it needs to defend our country and citizens,” said Congressman Joyce. “In today’s hearing, I made clear to Secretary Austin that Congress will prioritize delivering a funding bill for FY2025 that will increase our military readiness, support our servicemembers, strengthen our defense industry, and send a strong message to our adversaries that we are prepared. I also made sure the Defense Department was pushing back against China’s illegal and illegitimate maritime claims in the East and South China Sea. We cannot let their actions go unanswered.” Congressman Joyce serves on the House Appropriations Subcommittees on Financial Services and General Government (Chairman), Defense, and Transportation, Housing, and Urban Development.  OHIO – Today, Congressman Dave Joyce (OH-14) announced $1,447,930 in funding from the National Park Service’s Historic Preservation Fund for preservation efforts in Ohio. Congressman Joyce is a cosponsor of the Historic Preservation Fund Reauthorization Act to extend and increase funding for the program through FY 2033.  Established in 1977, the Historic Preservation Fund was authorized at $150 million per […] OHIO – Today, Congressman Dave Joyce (OH-14) announced $7,789,206 in funding awarded by the U.S. Department of Housing and Urban Development (HUD) for public housing authorities (PHAs) in Northeast Ohio.  Specifically, PHAs can utilize this funding for the development, financing, modernization, and management improvements of public housing developments. “From replacing roofs to installing water conservation measures, this critical funding […] WASHINGTON, D.C. – Representatives Dave Joyce (R-OH-14), Suzanne Bonamici (D-OR-01), Jen Kiggans (R-VA-02), and Lauren Underwood (D-IL-14) recently introduced a bipartisan resolution recognizing National Nurses Week. U.S. Senators Jeff Merkley (D-OR) and Roger Wicker (R-MS) introduced this resolution in the Senate. The resolution honors and celebrates the important contributions America’s nurses have made in providing safe, high-quality care and the invaluable role […] Washington, DC 2065 Rayburn HOB  Washington, DC 20515 (202) 225-5731 Mentor 8500 Station Street, Suite 390  Mentor, OH 44060 (440) 352-3939 *Walk-ins are welcome at the Mentor location and appointments are not required.   Warren 125 West Market Street, Room 204  Warren, OH 44481 (330) 752-7673 *If you would like to send correspondence via mail to one of the District Offices, please use the Mentor Office address.*  *While walk-ins are welcome, scheduled appointments are strongly encouraged to best serve you at this specific location.* Ravenna 449 S. Meridian Street, Room 138  Ravenna, OH 44266 (330) 357-4139 *If you would like to send correspondence via mail to one of the District Offices, please use the Mentor Office address.*  *While walk-ins are welcome, scheduled appointments are strongly encouraged to best serve you at this specific location.*  Proudly representing the 14th District of Ohio. Accessibility Privacy",Congress Progressive
April 19,Paul Gosar,R,Ariz.-9,Gosar Statement on Supporting the Motion to Vacate the Speaker,"
Reference ID: 18.d03a2217.1715273123.2bddfd62
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Freedom Party
April 16,David Trone,D,Md.-6,"Congressman Trone Calls for Increased Funding for Job Training and Health Care, Improved Outcomes for the Bureau of Prisons in Hearing with AG Garland","
Reference ID: 18.d03a2217.1715273123.2bde0159
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 19,David Trone,D,Md.-6,"Trone, Cárdenas Lead Introduction of Resolution Declaring April 2024 as Second Chance Month","
Reference ID: 18.d03a2217.1715273124.2bde02cd
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",New Democrat Coalition
April 16,Guy Reschenthaler,R,Pa.-14,Reschenthaler Manages Rule Debate on Measures to Support Israel and Hold Iran Accountable,"
Reference ID: 18.c73a2217.1715273133.26af05cd
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Main Street
April 19,Ayanna Pressley,D,Mass.-7,"Pressley Files Amendments to Surge Global Humanitarian Aid, Restrict Offensive Weapons to Israeli Military","
Reference ID: 18.c73a2217.1715273133.26af06e0
 
You can proceed to www.senate.gov.

If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
If this problem persists, please contact the Office of the Secretary Webmaster at webmaster@sec.senate.gov.

 
",Congress Progressive
April 17,Abigail Spanberger,D,Va.-7,Spanberger Honors Baron Braswell & Gwendolyn Martinez at U.S. Capitol for Their Annual “Baron P. ‘Deuce’ Braswell Run Against Teen Violence”,"WASHINGTON, D.C. — Congressman Brad Finstad (MN-01) joined Congressman Zach Nunn (IA-03) in introducing the Year-Round E15 Act, bipartisan legislation that would allow for the sale of E15 across eight Midwestern states.  The bipartisan Year-Round E15 Act would extend the Reid vapor pressure (RVP) volatility waiver to ethanol blends above 10 percent to allow for the year-round sale of E15 in Iowa, Illinois, Missouri, Minnesota, Nebraska, Ohio, South Dakota, and Wisconsin for 2024.   “The ethanol industry is a driving force for southern Minnesota’s economy and provides a cleaner, low-cost energy source for consumers at the pump,” said Rep. Finstad. “Though the EPA recently announced the year-round sale of E15 in the Midwest starting in 2025, farmers, ethanol producers, and Americans' pocketbooks are footing the bill for this multi-year delay. I’m proud to help introduce this legislation which will allow for the sale of E15 this summer.”  “Since day one, I’ve been fighting for year-round E15. Unfortunately, this Administration has repeatedly put America’s producers and families behind as they stubbornly opposed E15, which is good for the economy, good for the climate, and good for families,” said Rep. Nunn. “This bill wouldn’t be necessary if the Administration had just done the right thing to begin with, but this is a critical step to provide certainty for farmers, producers, and families who will benefit from less expensive fuel.”  Background: In April of 2022, eight Midwestern governors submitted a letter urging the Biden Administration to allow year-round sales of E15. Under current law, the Environmental Protection Agency (EPA) is required to act upon this request within 90 days. The EPA waited until March 6, 2023, just days before biofuel producers would have halted production, to issue a waiver for E15 sales for the summer of 2023.  On February 9, 2023, Rep. Finstad pressed the administration for action on year-round E-15, leading a bipartisan group of 31 members of both the Senate and the House of Representatives in sending a letter to EPA and Office of Management and Budget (OMB), urging the agencies to quickly implement their outstanding regulatory action on the request made the previous April.  In December 2023, Congressman Finstad led a bi-partisan letter urging the EPA and the OMB urging the administration to remove the 1-psi volatility waiver for gasoline and ethanol blends, like E15.  This follow-up letter was sent 300 days after Congressman Finstad led a bicameral letter with U.S. Senator Joni Ernst (R-IA) urging the EPA and the OMB to act on the request made by the Midwestern governors.  On February 22, 2024, the EPA issued its final ruling to allow for the year-round sale of E15 beginning April 28, 2025, a year after the Biden Administration’s initial proposed implementation date of April 28, 2024. By delaying the implementation, the EPA is punishing American families and farmers who have already faced record inflation, skyrocketing fuel prices, and uncertainty in the market due to the Administration’s economic policies. Permalink: https://finstad.house.gov/2024/4/finstad-helps-introduce-legislation-implementing-the-year-round-sale-of-e15 2746 Superior Drive NW Suite 100 Rochester, MN  55901 Phone: (507) 577-6140 110 N. Minnesota St. Suite 5 New Ulm, MN 56073 Phone: (507) 577-6151 1605 Longworth HOB Washington, DC 20515 Phone: (202) 225-2472",New Democrat Coalition
April 17,Abigail Spanberger,D,Va.-7,MONDAY: Spanberger to Host Virginia-Focused Telephone Town Hall,"For Immediate Release WASHINGTON, D.C. – Today, Congressman Jamaal Bowman (NY-16) released the following statement in response to the House Republican floor votes on resolutions following the Iranian military attack on Israel and preceding Israeli military assault on an Iranian consulate: “The escalating violence in the region is dangerous and has the potential to become a full scale war. Our top priority should be de-escalating the ongoing conflict and preventing a regional war, not engaging in reckless political theater that will escalate violence, undermine the President’s use of flexibilities in sanctions to conduct diplomacy, and seek to target humanitarian aid and peace advocacy efforts around the world. That is why I’m opposing a series of bills that have been rushed to the floor by Republican warmongers in Congress. Instead, we must move forward and engage with solutions that center peace and our shared humanity.” ### Permalink: https://bowman.house.gov/2024/4/congressman-jamaal-bowman-statement-on-warmongering-house-republican-legislation 
        345 Cannon House Office Building
        Washington, DC 20003
        Phone: (202) 225-2464
        Fax: (202) 225-5513
       
Opens in February 2023!
        222 Mamaroneck Ave.
        Suite 312
        White Plains, NY 10605
        Phone: (914) 323-5550
       
        6 Gramatan Ave.
        Suite 205
        Mt. Vernon, NY 10550
        Phone: (914) 371-9220
      ",New Democrat Coalition
April 17,Abigail Spanberger,D,Va.-7,"Spanberger, Kaine, Valadao Lead Bipartisan, Bicameral Effort to Expand Digital Skills in Workforce Training","For Immediate Release  WASHINGTON, D.C. – Today, Congress voted on the Republican Resolution H.Res. 1143 that would support escalation of violence in the Middle East and undermine President Biden’s calls for de-escalation. Congressman Jamaal Bowman, Ed.D. (NY-16) released the following statement: “I unequivocally condemn the Iranian military’s attack on Israel, just as I condemn the Israeli military attack on the Iranian consulate in Syria ordered by Prime Minister Netanyahu that sparked this dangerous escalation, which is why I voted against H.Res. 1143 today. President Biden has made it clear that he does not support escalating violence in the Middle East, which this resolution will contribute to by supporting further military action. We must do everything in our power to end the ongoing violence, pursue a lasting ceasefire, and save civilian lives. Instead of pushing resolutions that fan the flames of war, Congress should recognize all of the lives that have been lost, both Palestinian and Israeli. We have a moral responsibility to govern in a way that centers those most impacted and nurtures humanity instead of succumbing to more warmongering and violence.” ### Permalink: https://bowman.house.gov/2024/4/congressman-jamaal-bowman-statement-on-h-res-1143 
        345 Cannon House Office Building
        Washington, DC 20003
        Phone: (202) 225-2464
        Fax: (202) 225-5513
       
Opens in February 2023!
        222 Mamaroneck Ave.
        Suite 312
        White Plains, NY 10605
        Phone: (914) 323-5550
       
        6 Gramatan Ave.
        Suite 205
        Mt. Vernon, NY 10550
        Phone: (914) 371-9220
      ",New Democrat Coalition
